@relation 1301D_Gender

@attribute time {31 ms,46 ms,62 ms,30 ms,15 ms}
@attribute memory {3700 KB,100 KB,9800 KB,200 KB,300 KB,400 KB,3800 KB,4000 KB,0 KB,2400 KB,2000 KB,700 KB,2900 KB,1000 KB,2700 KB,19600 KB,900 KB,3000 KB,4400 KB,30800 KB,8000 KB,3300 KB,1400 KB,1100 KB,1700 KB,11800 KB,3400 KB,14300 KB,3900 KB,21500 KB,33800 KB}
@attribute country {India,China,Philippines,Bangladesh,'South Korea',Kyrgyzstan,'United States',Russia,Germany,Iran,Belarus,Vietnam,Mexico,Unknown,Brazil,Kazakhstan,Indonesia,Bulgaria,Estonia,Venezuela,Romania,Antarctica,Ukraine,Jordan,Canada,Armenia,Finland,Egypt,Australia,Tajikistan,Serbia,Taiwan,Poland,Japan,Lithuania,'United Kingdom',Sweden,Colombia}
@attribute continent {Asia,'North America',AsiaEurope,Europe,Unknown,'South America',Antarctica,AsiaAfrica,Australia}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
31 ms,3700 KB,India,Asia,44,211,199.484808,1151.940072,26.1,30065.63587,48,42,40,6,2,9,3,male
46 ms,100 KB,China,Asia,53,240,251.687581,1374.700909,40.159091,55206.73878,29,25,25,4,0,7,2,female
31 ms,9800 KB,China,Asia,46,235,211.206718,1298.03706,23.4375,30422.74359,48,40,40,8,0,9,2,male
31 ms,100 KB,China,Asia,65,290,326.731624,1746.486666,24.5,42788.92331,28,20,20,8,0,7,3,female
31 ms,200 KB,India,Asia,48,220,221.592072,1228.69175,25.184211,30943.63171,39,34,34,5,0,7,2,male
31 ms,300 KB,Philippines,Asia,50,241,235.05865,1360.169342,27.555556,37480.22186,43,38,37,5,1,11,2,male
31 ms,100 KB,China,Asia,51,233,240.018647,1321.675105,24.8,32777.5426,44,39,39,5,0,10,2,male
31 ms,100 KB,China,Asia,45,259,206.883054,1422.389952,32.107143,45668.87739,36,30,30,6,0,8,1,female
62 ms,100 KB,China,Asia,59,280,288.186023,1647.140054,22.142857,36472.38691,39,34,32,5,2,12,3,male
31 ms,400 KB,China,Asia,47,287,216.693586,1594.167,30.882353,49231.62795,35,32,32,3,0,13,1,male
31 ms,100 KB,China,Asia,40,256,176.487679,1362.413592,29.076923,39614.79522,61,55,54,6,1,14,4,female
46 ms,100 KB,Bangladesh,Asia,38,264,167.825219,1385.452864,19.6,27154.87613,54,48,48,6,0,13,1,male
31 ms,100 KB,China,Asia,58,270,281.962048,1581.654869,26.981481,42675.39155,43,37,37,6,0,11,4,male
31 ms,3800 KB,India,Asia,41,233,181.684932,1248.309617,31.821429,39722.99531,35,24,18,11,6,7,1,male
31 ms,200 KB,India,Asia,50,296,239.420269,1670.581432,32.142857,53697.26032,65,61,61,4,0,18,2,male
31 ms,4000 KB,India,Asia,59,290,288.088167,1705.966484,27.931034,47649.4087,35,30,28,5,2,8,1,male
46 ms,400 KB,China,Asia,43,214,192.381963,1161.220658,33.75,39191.19719,32,27,25,5,2,7,1,female
46 ms,100 KB,China,Asia,51,254,238.988945,1440.796037,26.363636,37984.62279,41,34,30,7,4,10,3,male
31 ms,100 KB,China,Asia,52,319,245.314213,1818.44027,35.454545,64471.97321,33,27,27,6,0,13,1,male
30 ms,200 KB,'South Korea',Asia,42,271,194.994331,1461.318022,40.333333,58939.82687,52,40,36,12,4,8,1,male
46 ms,300 KB,China,Asia,56,324,269.67649,1881.582995,29.14,54829.32847,44,39,39,5,0,13,1,female
31 ms,100 KB,China,Asia,58,228,282.211433,1335.619667,24.615385,32876.7918,52,39,33,13,6,8,2,male
31 ms,0 KB,China,Asia,65,335,326.553822,2017.493217,25.985294,52425.15463,59,55,55,4,0,14,1,male
46 ms,100 KB,China,Asia,59,232,288.381963,1364.773187,26.074074,35585.19718,50,34,25,16,9,8,2,male
31 ms,100 KB,Kyrgyzstan,Asia,65,324,326.553822,1951.247171,31.911765,62267.74062,46,33,27,13,6,10,2,male
31 ms,2400 KB,China,Asia,53,325,251.687581,1861.574148,26.772727,49839.41696,58,54,54,4,0,11,2,male
31 ms,2000 KB,China,Asia,47,241,215.940099,1338.655913,21.75,29115.76611,36,23,21,13,2,8,1,male
31 ms,200 KB,'South Korea',Asia,41,281,188.529325,1505.472113,39.111111,58880.6871,59,47,43,12,4,11,1,male
31 ms,100 KB,India,Asia,52,254,248.032387,1447.911688,37.777778,54698.88601,52,33,33,19,0,8,3,male
31 ms,100 KB,'United States','North America',66,363,334.027183,2194.115065,35.964286,78909.7811,44,37,37,7,0,17,3,male
30 ms,400 KB,China,Asia,43,304,199.684287,1649.584485,44.55,73488.98883,53,44,42,9,2,13,1,female
31 ms,100 KB,India,Asia,57,289,275.58868,1685.705214,33.333333,56190.1738,45,38,34,7,4,11,4,male
30 ms,0 KB,Russia,AsiaEurope,59,246,290.159225,1447.13019,33.652174,48699.07683,48,40,35,8,5,8,2,male
31 ms,300 KB,China,Asia,49,242,228.638736,1358.759782,29.277778,39781.46696,54,42,36,12,6,10,2,male
31 ms,100 KB,Germany,Europe,43,227,198.053748,1231.762099,20.363636,25083.15548,55,37,26,18,11,5,2,male
31 ms,700 KB,Iran,Asia,46,247,213.302969,1364.319803,28.571429,38980.5658,52,30,13,22,17,9,1,male
31 ms,100 KB,Iran,Asia,56,240,271.081232,1393.765181,37.090909,51696.01763,45,34,32,11,2,9,2,male
46 ms,200 KB,China,Asia,64,350,321.632678,2100,28.5,59850,48,38,35,10,3,16,1,male
31 ms,100 KB,Belarus,Europe,56,256,271.081232,1486.68286,35.545455,52844.81803,44,29,27,15,2,8,2,male
31 ms,100 KB,China,Asia,52,230,246.438562,1311.101135,24.8,32515.30815,37,33,33,4,0,8,2,female
31 ms,100 KB,Vietnam,Asia,57,289,275.58868,1685.705214,33.333333,56190.1738,45,38,34,7,4,11,4,male
31 ms,2900 KB,India,Asia,49,352,228.638736,1976.377865,90.416667,178697.4986,61,47,39,14,8,13,1,male
